latitude,type,name,longitude
36.9679,Load Node,BONITA_6_N001,-120.2
36.7926,Load Node,ASHLAN_2_N008,-119.83
33.1365,Load Node,ASHLAN_2_N001,-117.07
33.1365,Load Node,ASHLAN_2_N007,-117.07
36.822,Load Node,FIGARDN_2_N001,-119.86
36.822,Load Node,FIGARDN_2_N101,-119.86
36.5912,Generation Node,HELMS1_7_B1,-120.18
36.5912,Generation Node,HELMS2_7_B1,-120.18
36.5912,Generation Node,HELMS3_7_B1,-120.18
36.86,Generation Node,GREGG_2_B1,-119.93
36.9223,Load Node,BORDEN_2_N007,-119.98
36.9223,Generation Node,BORDEN_2_N008,-119.98
36.9223,Generation Node,BORDEN_2_N009,-119.98
36.6921,Load Node,KERMAN_6_N002,-120.06
37.7165,Load Node,ELLIS_6_N001,-121.55
37.7165,Generation Node,ELLIS_6_N003,-121.55
37.7165,Load Node,ELLIS_6_N105,-121.55
36.9828,Load Node,STOREY2_2_N001,-120.03
33.68,Generation Node,ELLIS_2_B1,-117.94
33.6461,Generation Node,HUNT1G_7_B1,-117.98
33.64,Load Node,HUNT1G_7_N002,-117.96
33.6461,Generation Node,HUNT3G_7_B1,-117.98
33.64,Load Node,HUNT3G_7_N002,-117.97
33.6461,Generation Node,HUNT4G_7_B1,-117.98
33.66,Load Node,HUNT4G_7_N002,-117.97
33.6461,Generation Node,HUNT2G_7_B1,-117.98
33.66,Load Node,HUNT2G_7_N002,-117.97
36.6057,Load Node,BOWLES_6_N001,-119.77
36.5316,Load Node,CARUTHRS_6_N001,-119.88
33.7136,Load Node,JOHANNA_2_N001,-117.85
33.7136,Load Node,JOHANNA_2_N007,-117.85
33.7136,Generation Node,JOHANNA_2_N013,-117.85
36.7044,Load Node,KEARNEY_6_N001,-119.88
36.7044,Load Node,KEARNEY_6_N099,-119.88
36.9828,Load Node,STOREY1_2_N001,-120.03
36.9828,Generation Node,STOREY1_2_N003,-120.03
33.7716,Generation Node,ALAMT5G_7_B1,-118.1
33.7716,Generation Node,ALAMT1G_7_B1,-118.1
33.7716,Load Node,ALAMT5G_7_N002,-118.1
33.7716,Generation Node,ALAMT6G_7_B1,-118.1
33.7716,Load Node,ALAMT6G_7_N002,-118.1
33.7716,Load Node,ALAMT1G_7_N002,-118.1
33.7716,Generation Node,ALAMT2G_7_B1,-118.1
33.7716,Load Node,ALAMT2G_7_N002,-118.1
33.7716,Load Node,ALAMITOS_2_N001,-118.1
33.77,Load Node,ALAMITOS_2_N040,-118.1
33.7716,Generation Node,ALAMT4G_7_B1,-118.1
33.7716,Load Node,ALAMT4G_7_N002,-118.1
33.7716,Generation Node,ALAMT3G_7_B1,-118.1
33.7716,Load Node,ALAMT3G_7_N002,-118.1
36.7208,Load Node,MENDOTA_1_N008,-120.46
37.3633,Load Node,GALLO_1_N001,-120.76
33.6651,Generation Node,SANTIAGO_6_N004,-117.77
37.3633,Load Node,LIVNGSTN_1_N001,-120.76
36.2985,Load Node,RECTOR_6_N001,-119.24
36.2985,Generation Node,RECTOR_6_N004,-119.24
36.2985,Generation Node,RECTOR_6_N007,-119.24
36.2985,Generation Node,RECTOR_6_N008,-119.24
36.2985,Generation Node,RECTOR_6_N009,-119.24
37.4285,Load Node,CRESSEY_1_N001,-120.64
37.4285,Generation Node,CRESSEY_1_N003,-120.64
37.37,Load Node,JRWOOD_1_N001,-120.64
37.37,Generation Node,JRWDGEN_1_N001,-120.63
37.36,Load Node,ATWATER_1_B2,-120.61
37.36,Load Node,ATWATER_1_N001,-120.61
37.2728,Load Node,MERCED_1_N002,-120.49
37.2728,Load Node,MERCED_1_N001,-120.49
37.3358,Load Node,ELCAPTN_1_N004,-120.51
37.3655,Load Node,ELCAPTN_1_N005,-120.58
37.3358,Load Node,ELCAPTN_1_N001,-120.51
33.8962,Load Node,ELNIDO_1_N001,-118.37
37.1206,Load Node,ELNIDO_1_N004,-120.47
33.8483,Load Node,DELAMO_2_N001,-118.1
33.8483,Load Node,DELAMO_2_N014,-118.1
33.8483,Load Node,DELAMO_2_N022,-118.1
37.2908,Load Node,WILSONAB_1_N001,-120.41
35.857,Load Node,VESTAL_6_N001,-119.09
35.857,Generation Node,VESTAL_6_N002,-119.09
35.857,Generation Node,VESTAL_6_N004,-119.09
35.857,Generation Node,VESTAL_6_N006,-119.09
33.8189,Load Node,HINSON_6_N001,-118.22
33.8189,Generation Node,LBEACH1G_7_N001,-118.22
33.8189,Generation Node,LBEACH2G_7_N001,-118.22
33.82,Load Node,LBEACH2G_7_N002,-118.21
33.8189,Generation Node,LBEACH3G_7_N001,-118.22
33.8189,Generation Node,LBEACH4G_7_N001,-118.22
33.8189,Generation Node,SERRFGEN_7_B1,-118.22
33.8189,Generation Node,CARBOGEN_7_B1,-118.22
33.84,Generation Node,HINSON_2_B1,-118.23
33.77,Generation Node,HARBORG_7_B2,-118.25
33.77,Generation Node,HARBORG_7_B3,-118.25
33.77,Generation Node,HARBORG_7_B4,-118.25
33.77,Load Node,HARBORG_7_N101,-118.25
33.8805,Generation Node,ICEGEN_7_B1,-118.18
33.8805,Load Node,LITEHIPE_6_N001,-118.18
33.8805,Generation Node,LITEHIPE_6_N006,-118.18
33.8805,Load Node,LITEHIPE_6_N008,-118.18
36.5928,Load Node,MCMULLN1_2_N001,-119.99
33.8175,Generation Node,ARCO1G_7_B1,-118.24
34.0008,Load Node,LCIENEGA_6_N001,-118.38
33.9288,Load Node,CENTERS_6_N001,-118.11
33.9288,Generation Node,CENTERS_6_N004,-118.11
33.9288,Load Node,CENTERS_6_N200,-118.11
33.9288,Generation Node,CTRPKGEN_7_B1,-118.11
33.8697,Load Node,LAFRESA_6_N001,-118.33
33.8697,Generation Node,LAFRESA_6_N003,-118.33
33.8697,Load Node,LAFRESA_6_N007,-118.33
37.1206,Load Node,ELNIDO_2_N001,-120.47
33.8962,Load Node,ELNIDO_2_N012,-118.37
33.9085,Generation Node,ELSEG3G_7_B1,-118.42
33.9085,Generation Node,ELSEG4G_7_B1,-118.42
33.9,Generation Node,ELSEGNDO_2_B1,-118.42
33.8526,Generation Node,REDON5G_7_B1,-118.39
33.8526,Generation Node,REDON6G_7_B1,-118.39
33.8526,Generation Node,REDON7G_7_B1,-118.39
33.8526,Generation Node,REDON8G_7_B1,-118.39
33.9759,Load Node,LAGUBELL_6_N001,-118.15
33.9759,Generation Node,LAGUBELL_6_N005,-118.15
33.9759,Load Node,LAGUBELL_6_N210,-118.15
37.937,Load Node,MCDISLE_6_N001,-121.53
33.98,Generation Node,LAGUBELL_2_B1,-118.15
34,Generation Node,VELASCO_2_N100,-118.09
37.1441,Generation Node,EASTWOOD_7_B1,-119.27
37.2021,Load Node,BIGCRK1_7_N001,-119.24
37.2021,Generation Node,BCRK1-2_1_N003,-119.24
37.2021,Generation Node,BCRK1-2_1_N004,-119.24
37.2,Generation Node,BIGCRK1_2_B1,-119.24
37.21,Generation Node,BIGCRK2_2_B1,-119.32
37.18,Generation Node,BIGCRK8_2_B1,-119.25
37.14,Generation Node,BIGCRK3_2_B1,-119.39
37.23,Generation Node,MAMOTH1G_7_B1,-119.35
37.23,Generation Node,MAMOTH2G_7_B1,-119.33
37.13,Generation Node,BCRK4_7_B1,-119.5
37.13,Generation Node,BCRK4_7_B3,-119.5
37.14,Generation Node,BIGCRK4_2_B1,-119.49
34.0375,Load Node,MESACAL_6_N001,-118.11
34.0355,Generation Node,MESACAL_6_N004,-118.11
39.0055,Load Node,WILKINS_6_N001,-121.87
37.949,Generation Node,MELONES_2_N014,-120.52
37.937,Load Node,MDLRIVR_6_N001,-121.53
33.1288,Load Node,SANMRCOS_6_N001,-117.2
33.1288,Load Node,SANMRCOS_6_N007,-117.2
33.1288,Load Node,SANMRCOS_6_N011,-117.2
33.1288,Generation Node,SANMRCOS_6_N012,-117.2
33.3743,Load Node,JAPMESA_6_N001,-117.55
33.3743,Load Node,JAPMESA_6_N007,-117.55
33.4634,Load Node,CRSTNTS_6_N001,-117.57
34.1061,Load Node,RIOHONDO_6_N001,-117.98
34.1061,Generation Node,RIOHONDO_6_N004,-117.98
34.1061,Generation Node,RIOHONDO_6_N007,-117.98
38.7867,Load Node,GUALALA_6_N001,-123.52
36.4778,Load Node,OTTER_6_N001,-121.73
36.31,Load Node,LEMOORE_6_N002,-119.8
36.31,Load Node,LEMOORE_6_N101,-119.8
37.74,Generation Node,WARNERVL_2_B1,-120.8
37.74,Generation Node,WARNERVL_2_B2,-120.8
41.0565,Load Node,HOOPA_6_N001,-123.68
33.4949,Load Node,LAGNANL_1_N001,-117.7
33.4949,Load Node,LAGNANL_1_N002,-117.7
33.4949,Load Node,LAGNANL_1_N005,-117.7
33.4949,Load Node,LAGNANL_1_N006,-117.7
37.7726,Load Node,COTTLE_7_N001,-120.83
37.7726,Generation Node,COTTLE_7_N002,-120.83
33.5129,Load Node,CAPSTRNO_1_N001,-117.67
33.5129,Load Node,CAPSTRNO_1_N006,-117.67
33.5129,Generation Node,CAPSTRNO_1_N016,-117.67
37.7726,Load Node,COTTLEA_2_N001,-120.83
33.563,Load Node,TRABUCO_1_N001,-117.67
33.563,Load Node,TRABUCO_1_N005,-117.67
33.563,Load Node,TRABUCO_1_N009,-117.67
33.563,Load Node,TRABUCO_1_N013,-117.67
38.0169,Load Node,LINDEN_6_N101,-121.1
33.55,Load Node,MARGARTA_1_N009,-117.63
33.55,Load Node,MARGARTA_1_N001,-117.63
33.55,Load Node,MARGARTA_1_N002,-117.63
33.55,Load Node,MARGARTA_1_N008,-117.63
36.2225,Load Node,JCBSCRNR_6_N001,-119.78
36.2225,Load Node,JCBSCRNR_6_N003,-119.78
37.8164,Load Node,HERDLYN_6_N001,-121.59
38.5927,Load Node,CALISTGA_6_N001,-122.58
36.8507,Load Node,FIREBAGH_6_N001,-120.47
33.9461,Load Node,OLINDA_6_N001,-117.92
33.9461,Generation Node,OLINDA_6_N002,-117.92
33.9461,Generation Node,OLINDA_6_N004,-117.92
33.9461,Generation Node,OLINDA_6_N007,-117.92
33.2065,Load Node,MELROSE_6_N001,-117.25
33.2065,Load Node,MELROSE_6_N004,-117.25
33.2065,Load Node,MELROSE_6_N005,-117.25
33.2065,Load Node,MELROSE_6_N009,-117.25
37.5833,Load Node,SANMATEO_1_N001,-122.32
37.5833,Load Node,SANMATEO_1_N009,-122.32
33.3783,Load Node,HORNO_6_N001,-117.46
37.4629,Load Node,LASPULGS_6_N001,-122.23
34.0085,Load Node,WALNUT_6_N001,-117.95
34.0085,Generation Node,WALNUT_6_N007,-117.95
34.0085,Generation Node,WALNUT_6_N008,-117.95
33.4568,Load Node,PICO_1_N001,-117.59
33.4568,Load Node,PICO_1_N004,-117.59
